token,score,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance
28b94453e1cd578f,0.0,0.0,1.0,0.0,0.0,1.0,1.0
42a20478abeb54d5,0.0,1.0,0.0,0.0,1.0,1.0,0.0
409711b03072566a,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2dd890fcd27352c5,0.0,0.0,1.0,0.0,0.0,1.0,1.0
b41e61d24f915d6f,0.0,1.0,0.0,0.0,1.0,1.0,1.0
373707159e77583c,0.0,0.0,1.0,0.0,0.0,1.0,0.0
9a23e7bc52e657c3,0.0,1.0,0.0,0.0,1.0,1.0,1.0
063f7dfe767d55aa,0.0,1.0,0.0,0.0,1.0,1.0,1.0
8f8ccbd6ffcb54b9,0.0,1.0,0.0,0.0,1.0,1.0,0.5
45f13336bbd35146,0.0,1.0,0.0,0.0,1.0,1.0,1.0
67b05cf704325e6b,0.0,1.0,0.0,0.0,1.0,1.0,1.0
76b1b05efba353fe,0.0,1.0,0.0,0.0,1.0,1.0,1.0
02cc0007d6755abc,0.0,1.0,0.0,0.0,1.0,1.0,1.0
7bb715f6c245555e,0.0,1.0,0.0,0.0,1.0,1.0,1.0
515b2946ba2457b5,0.0,1.0,0.0,0.0,1.0,1.0,1.0
98017c16248a5f54,0.0,0.0,1.0,0.0,0.0,1.0,1.0
17a015f4ef9b56d0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1981a85eb4ba5001,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6e3cf172a2755fae,0.0,0.0,1.0,0.0,0.0,1.0,1.0
df240e44ad0d5c3c,0.0,0.0,1.0,0.0,0.0,1.0,0.5
f71e5dcd9df85d97,0.0,1.0,0.0,0.0,1.0,1.0,1.0
e194cef299cf5264,0.0,0.0,1.0,0.0,0.0,1.0,1.0
cb8b1f36617c50d4,0.0,1.0,0.0,0.0,1.0,1.0,1.0
d5a0b92fbf8b51df,0.0,0.0,1.0,0.0,0.0,1.0,1.0
303d7a8f1262569e,0.0,1.0,0.0,0.0,0.0,1.0,1.0
7b4383b378035cb7,0.0,1.0,0.0,0.0,1.0,1.0,1.0
8118acf21ab154f7,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2c337eb368fb54ca,0.0,1.0,0.0,0.0,1.0,1.0,0.5
fb3ec8fa431c5d83,0.0,0.0,1.0,0.0,0.0,1.0,1.0
d12c5ba59acf55a0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
11714a81e1c45a54,0.0,0.0,1.0,0.0,0.0,1.0,1.0
6bd234c45e885cb2,0.0,1.0,0.0,0.0,1.0,1.0,1.0
be6f90f06bc35be3,0.0,1.0,0.0,0.0,1.0,1.0,1.0
fc7b8441f81b5296,0.0,1.0,0.0,0.0,1.0,1.0,1.0
8d21608fa8c354f1,0.0,1.0,0.0,0.0,1.0,1.0,1.0
81286af2aa9c5e17,0.0,1.0,0.0,0.0,1.0,1.0,0.0
e036ba13ad4d5784,0.0,0.0,1.0,0.0,0.0,1.0,1.0
87fa0c79b31c563a,0.0,1.0,0.0,0.0,1.0,1.0,1.0
3e730f46f6f055a3,0.0,1.0,0.0,0.0,1.0,1.0,1.0
b5025be9867f503e,0.0,1.0,0.0,0.0,1.0,1.0,1.0
afcd7846a4f35622,0.0,1.0,0.0,0.0,1.0,1.0,1.0
77b99279c5265bab,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2b482f615de15efb,0.0,0.0,0.0,0.0,1.0,1.0,1.0
7022b42a3743507a,0.0,0.0,1.0,0.0,0.0,1.0,1.0
10d18b323ff35a1f,0.0,0.0,1.0,0.0,0.0,1.0,1.0
abba9d81ee9054ec,0.0,1.0,0.0,0.0,1.0,1.0,1.0
8e393929643f5c97,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ff60af032dbd5caa,0.0,1.0,0.0,0.0,1.0,1.0,1.0
e62a5092735359ee,0.0,1.0,0.0,0.0,1.0,1.0,1.0
9164913b818a58b1,0.0,0.0,1.0,0.0,0.0,1.0,1.0
2ea6bdf1e8905fd8,0.0,1.0,0.0,0.0,1.0,1.0,1.0
33f04aa1460b5dc5,0.0,1.0,0.0,0.0,1.0,1.0,0.5
00fcad6d092c5e8e,0.0,0.0,1.0,0.0,0.0,1.0,1.0
3e0511dc69b85b75,0.0,0.0,1.0,0.0,0.0,1.0,1.0
b1520b6af9705191,0.0,0.0,1.0,0.0,0.0,1.0,1.0
548b6b9700f25610,0.0,1.0,0.0,0.0,1.0,1.0,1.0
8ba3e54303a352c8,0.0,0.0,1.0,0.0,0.0,1.0,0.5
d8320bd0be9a50b3,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ca2552a32a0058bc,0.0,1.0,0.0,0.0,1.0,1.0,1.0
ae06592110305073,0.0,0.0,1.0,0.0,0.0,1.0,1.0
3038555c47555d08,0.0,1.0,0.0,0.0,1.0,1.0,1.0
e6dc564e1a3a588e,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2882be3ae16b50e3,0.0,0.0,1.0,0.0,0.0,1.0,1.0
b770bd5be66d5339,0.0,0.0,1.0,0.0,0.0,1.0,1.0
49f205ebb9d559c2,0.0,1.0,0.0,0.0,1.0,1.0,1.0
a1e689b17ca65053,0.0,0.0,1.0,0.0,0.0,1.0,0.0
388391c4b8d45c36,0.0,1.0,0.0,0.0,1.0,1.0,1.0
d58c4ad27c525465,0.0,0.0,0.0,0.0,0.0,1.0,1.0
491a9b7a44225a75,0.0,0.0,1.0,0.0,0.0,1.0,1.0
f7d40806c7045d54,0.0,0.0,1.0,0.0,0.0,1.0,1.0
71729b03a1e95896,0.0,1.0,0.0,0.0,1.0,1.0,1.0
d0de8d6a350d55d9,0.0,0.0,1.0,0.0,0.0,1.0,1.0
6050bcf9baab54f6,0.0,0.0,1.0,0.0,0.0,1.0,1.0
8f82805b2edb5a25,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2c14c850f6645147,0.0,0.0,1.0,0.0,0.0,1.0,1.0
74cc0056b2c05248,0.0,1.0,0.0,0.0,0.0,1.0,1.0
d55aac327e4451ba,0.0,0.0,1.0,0.0,0.0,1.0,1.0
c9cf4a630abf5bc7,0.0,1.0,0.0,0.0,1.0,1.0,1.0
5d7c7edca69d5e73,0.0,0.0,1.0,0.0,0.0,1.0,0.0
73939fc4dcdf57c4,0.0,0.0,1.0,0.0,0.0,1.0,1.0
6af6e8242e045406,0.0,1.0,0.0,0.0,1.0,1.0,1.0
10db4b6fe64b5c10,0.0,1.0,0.0,0.0,1.0,1.0,0.5
bc73190196b358f6,0.0,0.0,1.0,0.0,0.0,1.0,1.0
6df89719fce05527,0.0,1.0,0.0,0.0,1.0,1.0,1.0
dfa220d6e64f5d84,0.0,1.0,0.0,0.0,0.0,1.0,1.0
4c53f29ce2365ef1,0.0,0.0,1.0,0.0,0.0,1.0,1.0
60a317c40ae656c0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
4a62cc0027965e10,0.0,1.0,0.0,0.0,1.0,1.0,1.0
78beb0eba954535e,0.0,0.0,1.0,0.0,0.0,1.0,1.0
774432c5e7b25128,0.0,1.0,0.0,0.0,1.0,1.0,1.0
132d1ec43fc058e1,0.0,1.0,0.0,0.0,1.0,1.0,1.0
92778c3bfcda566d,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0687eed0cf265533,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0eeeee655d415970,0.0,0.0,1.0,0.0,0.0,1.0,1.0
3c542be991515ccd,0.0,1.0,0.0,0.0,1.0,1.0,1.0
a8fb178e35d25d73,0.0,0.0,1.0,0.0,0.0,1.0,1.0
159972aee8265c33,0.0,1.0,0.0,0.0,1.0,1.0,1.0
1e4df42d4cea5416,0.0,0.0,1.0,0.0,0.0,1.0,1.0
852255373f315fb6,0.0,1.0,0.0,0.0,1.0,1.0,1.0
7b7cac50a37a5c24,0.0,0.0,1.0,0.0,0.0,1.0,1.0
40ce7057faae541e,0.0,0.0,1.0,0.0,0.0,1.0,1.0
303e7dd5717f54cd,0.0,1.0,0.0,0.0,1.0,1.0,0.5
1148c72f141c532d,0.0,1.0,0.0,0.0,1.0,1.0,1.0
bc91cb648d525c6c,0.0,0.0,1.0,0.0,0.0,1.0,1.0
d9eeceb896445e10,0.0,1.0,0.0,0.0,1.0,1.0,1.0
28cd9541bc35593f,0.0,1.0,0.0,0.0,1.0,1.0,1.0
78a98ffdcd4b558a,0.0,0.0,1.0,0.0,0.0,1.0,1.0
75f36091b3ec57e5,0.0,0.0,1.0,0.0,0.0,1.0,1.0
11482e143a4e5dec,0.0,0.0,1.0,0.0,0.0,1.0,1.0
43066c8c8e325fcf,0.0,0.0,1.0,0.0,0.0,1.0,1.0
367967cea49c5dda,0.0,1.0,0.0,0.0,1.0,1.0,0.5
14cb24f3f9fc51c8,0.0,0.0,1.0,0.0,0.0,1.0,1.0
4abb45d9ee1a5c5c,0.0,0.0,1.0,0.0,0.0,1.0,0.5
c39af88ae1be534a,0.0,0.0,1.0,0.0,0.0,1.0,1.0
a689d4a215245104,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2c7e5f987d5752c7,0.0,0.0,1.0,0.0,0.0,1.0,1.0
798842f0b1c253b4,0.0,0.0,1.0,0.0,0.0,1.0,1.0
6410f5684be757b5,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ec372e5b0ad7504f,0.0,1.0,0.0,0.0,1.0,1.0,1.0
4cf809416df6527e,0.0,0.0,1.0,0.0,0.0,1.0,1.0
277f191c94b952f3,0.0,0.0,1.0,0.0,0.0,1.0,1.0
72191253c85a5227,0.0,1.0,0.0,0.0,1.0,1.0,1.0
6b2cda5004dc5df9,0.0,0.0,1.0,0.0,0.0,1.0,1.0
19a79abcf14059d2,0.0,0.0,1.0,0.0,0.0,1.0,1.0
82551627c2415e8e,0.0,1.0,0.0,0.0,1.0,1.0,1.0
75bf56ae8b9d5673,0.0,1.0,0.0,0.0,1.0,1.0,1.0
8562e5f582e251cf,0.0,0.0,1.0,0.0,0.0,1.0,1.0
fcdcb2e456bf5360,0.0,1.0,0.0,0.0,1.0,1.0,1.0
92ebb72e83325bb1,0.0,0.0,1.0,0.0,0.0,1.0,1.0
e393bc5cafe95872,0.0,1.0,0.0,0.0,1.0,1.0,1.0
f2d7208949535747,0.0,1.0,0.0,0.0,1.0,1.0,1.0
c5af9333bf63510d,0.0,1.0,0.0,0.0,1.0,1.0,1.0
da56fca2caff52e4,0.0,1.0,0.0,0.0,1.0,1.0,1.0
28ef9307f6035143,0.0,1.0,0.0,0.0,0.0,1.0,1.0
58d69daf413c5d5a,0.0,1.0,0.0,0.0,1.0,1.0,1.0
ff0ad146b37756e3,0.0,1.0,0.0,0.0,1.0,1.0,1.0
5b61b9072cad5dbc,0.0,1.0,0.0,0.0,1.0,1.0,1.0
6c3bb8f40a9a533c,0.0,0.0,1.0,0.0,0.0,1.0,1.0
79a151c333745253,0.0,0.0,1.0,0.0,0.0,1.0,1.0
f2117260382b5d83,0.0,0.0,1.0,0.0,0.0,1.0,1.0
cd7575ed015c5678,0.0,0.0,1.0,0.0,0.0,1.0,1.0
5e74b6a61b715f47,0.0,0.0,1.0,0.0,0.0,1.0,0.5
159b8a11bd775e91,0.0,0.0,1.0,0.0,0.0,1.0,1.0
db4bcafb6d775b4f,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0695553567185c3c,0.0,0.0,1.0,0.0,0.0,1.0,1.0
bb4f37403cea5b0e,0.0,1.0,0.0,0.0,1.0,1.0,1.0
9f105aba36355fe1,0.0,1.0,0.0,0.0,1.0,1.0,1.0
9bb20085732d5f8d,0.0,0.0,1.0,0.0,0.0,1.0,1.0
184c11a8cc875403,0.0,1.0,0.0,0.0,1.0,1.0,1.0
9d9762d42ff5561d,0.0,1.0,0.0,0.0,1.0,1.0,0.5
de1662269d685ce0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
d945bc5c595d518d,0.0,1.0,0.0,0.0,1.0,1.0,1.0
f559d26401125dbe,0.0,0.0,1.0,0.0,0.0,1.0,1.0
e5b0b2c83a395163,0.0,0.0,1.0,0.0,0.0,1.0,1.0
53a7531622255064,0.0,1.0,0.0,0.0,1.0,1.0,1.0
680c8d90658556da,0.0,1.0,0.0,0.0,1.0,1.0,0.0
6919975cab1c5345,0.0,1.0,0.0,0.0,0.0,1.0,1.0
741d60ca8b7b5cb4,0.0,0.0,1.0,0.0,0.0,1.0,1.0
4dd9d92ade255f95,0.0,1.0,0.0,0.0,1.0,1.0,1.0
8671b777d49e5dea,0.0,0.0,1.0,0.0,0.0,1.0,1.0
d925879cb467504c,0.0,0.0,1.0,0.0,0.0,1.0,1.0
6b19d4325f075ad0,0.0,1.0,0.0,0.0,1.0,1.0,0.5
131ab0263b07507c,0.0,1.0,0.0,0.0,1.0,1.0,1.0
e41740b9529753af,0.0,0.0,1.0,0.0,0.0,1.0,1.0
e776468d9bf65a8a,0.0,0.0,1.0,0.0,0.0,1.0,1.0
cc86bfa114035604,0.0,1.0,0.0,0.0,1.0,1.0,1.0
35cf51dd13d559c0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
b26b54b014205d5c,0.0,1.0,0.0,0.0,1.0,1.0,1.0
39cbed62434a528b,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1975d15fde2955ff,0.0,0.0,1.0,0.0,0.0,1.0,0.5
8f5610a77c3257f9,0.0,1.0,0.0,0.0,1.0,1.0,1.0
cc652b7870745fa5,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2223b290d60556d5,0.0,1.0,0.0,0.0,1.0,1.0,0.0
da026eb9dcf75339,0.0,1.0,0.0,0.0,1.0,1.0,1.0
1afdce6720e45022,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2472d00839f65c25,0.0,0.0,1.0,0.0,0.0,1.0,1.0
b53158c719675897,0.0,1.0,0.0,0.0,1.0,1.0,1.0
129c4e6b058a5f6d,0.0,1.0,0.0,0.0,1.0,1.0,1.0
24b9908a6761529b,0.0,0.0,1.0,0.0,0.0,1.0,1.0
52f07f442baa5fe5,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0e272e003af65a71,0.0,0.0,1.0,0.0,0.0,1.0,1.0
e46762b07ca45b74,0.0,1.0,0.0,0.0,1.0,1.0,1.0
b44d5d0d2d1b531e,0.0,0.0,1.0,0.0,0.0,1.0,1.0
4909b88b347c5764,0.0,1.0,0.0,0.0,1.0,1.0,1.0
c35e290a671a5084,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1665bb5ab9d55dca,0.0,1.0,0.0,0.0,1.0,1.0,1.0
10909749099354e6,0.0,0.0,1.0,0.0,0.0,1.0,1.0
d98a25449e205e55,0.0,0.0,1.0,0.0,0.0,1.0,1.0
52b2e626eca85976,0.0,1.0,0.0,0.0,1.0,1.0,1.0
afb6f330e8665731,0.0,1.0,0.0,0.0,1.0,1.0,1.0
f016e2b6ac155a30,0.0,1.0,0.0,0.0,1.0,1.0,1.0
f23073987e7956e3,0.0,0.0,1.0,0.0,0.0,1.0,1.0
5d12ad55fdd858e1,0.0,1.0,0.0,0.0,1.0,1.0,1.0
6ecc4586af155c50,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0e60a3a86ce2570d,0.0,1.0,0.0,0.0,1.0,1.0,1.0
a422962469ff5d27,0.0,1.0,0.0,0.0,1.0,1.0,1.0
3d86e3fc3499578f,0.0,0.0,1.0,0.0,0.0,1.0,1.0
638b83e65dd259f8,0.0,0.0,1.0,0.0,0.0,1.0,1.0
00016f8b45c25a1d,0.0,1.0,0.0,0.0,1.0,1.0,0.0
93d5e0dd29bc5e7c,0.0,1.0,0.0,0.0,1.0,1.0,1.0
38b4ff11393c5dec,0.0,0.0,1.0,0.0,0.0,1.0,1.0
697882c22eb65ca7,0.0,0.5,0.0,0.0,0.0,1.0,1.0
f980b34746d45868,0.0,1.0,0.0,0.0,1.0,1.0,1.0
d37e71f395695c6f,0.0,0.0,1.0,0.0,0.0,1.0,0.0
f08f205e15975d97,0.0,1.0,0.0,0.0,0.0,1.0,1.0
8209b6700b535e8e,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1d3cf448005f56c1,0.0,0.0,1.0,0.0,0.0,1.0,1.0
3284cc6a78b05b9e,0.0,0.0,1.0,0.0,0.0,1.0,1.0
f9cfac7b9f30506d,0.0,1.0,0.0,0.0,1.0,1.0,0.5
923e4fcf3daa57f8,0.0,1.0,0.0,0.0,1.0,1.0,0.5
4d94decfbcd35ae6,0.0,1.0,0.0,0.0,1.0,1.0,1.0
927aa2c8ef7d5b5c,0.0,0.0,1.0,0.0,0.0,1.0,1.0
389bfba2e25f581b,0.0,0.0,1.0,0.0,0.0,1.0,1.0
b2dd5bf723d55469,0.0,0.0,1.0,0.0,0.0,1.0,1.0
51bf8103b6cd5b4c,0.0,0.5,0.0,0.0,0.0,1.0,1.0
52a66f215e855378,0.0,0.0,1.0,0.0,0.0,1.0,1.0
973f0873af40574e,0.0,1.0,0.0,0.0,1.0,1.0,1.0
57eebf7c02c05c63,0.0,1.0,0.0,0.0,1.0,1.0,1.0
5825e60bec9f59fb,0.0,0.0,1.0,0.0,0.0,1.0,1.0
01b9125ad835592f,0.0,1.0,0.0,0.0,1.0,1.0,1.0
c0fb4281da785582,0.0,1.0,0.0,0.0,1.0,1.0,1.0
d360ce59cdc15efc,0.0,1.0,0.0,0.0,1.0,1.0,1.0
6ae2bcc5c2c050e4,0.0,0.0,1.0,0.0,0.0,1.0,1.0
94d209006f485164,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0558c7a64ef157b1,0.0,1.0,0.0,0.0,1.0,1.0,1.0
075154c90a0a5d7c,0.0,0.0,1.0,0.0,0.0,1.0,1.0
93ed1cf3d95a5dab,0.0,1.0,0.0,0.0,1.0,1.0,1.0
979fc47b4f245a9c,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2115a02d06035ce0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ca85e7b7b71559b3,0.0,1.0,0.0,0.0,1.0,1.0,1.0
11650e6f32715f8f,0.0,1.0,0.0,0.0,1.0,1.0,1.0
60af77348f6257b6,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2d578825c3a8565f,0.0,0.0,1.0,0.0,0.0,1.0,0.0
46e5a6cf37de5493,0.0,0.0,1.0,0.0,0.0,1.0,1.0
c32ae6a1954651ec,0.0,0.0,1.0,0.0,0.0,1.0,1.0
01fea9c4f9f45634,0.0,1.0,0.0,0.0,1.0,1.0,1.0
91d449d737cc50fb,0.0,0.0,1.0,0.0,0.0,1.0,1.0
38a5d409f1095059,0.0,1.0,0.0,0.0,1.0,1.0,1.0
622867ce25805447,0.0,1.0,0.0,0.0,1.0,1.0,0.0
648b875dc34259c2,0.0,1.0,0.0,0.0,0.0,1.0,1.0
059ce9cd10135396,0.0,0.0,1.0,0.0,0.0,1.0,1.0
68b64b027ed2512a,0.0,1.0,0.0,0.0,1.0,1.0,1.0
c8629b9dd63e56ad,0.0,1.0,0.0,0.0,1.0,1.0,1.0
200c447283ed50eb,0.0,0.0,0.0,0.0,0.0,1.0,1.0
fcb205c7324051ae,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0614c017a1f65b80,0.0,1.0,0.0,0.0,1.0,1.0,1.0
ff44394af7265df3,0.0,1.0,0.0,0.0,1.0,1.0,1.0
afe83cb6c0ae5f67,0.0,1.0,0.0,0.0,1.0,1.0,1.0
ea34282dc63d5a9a,0.0,1.0,0.0,0.0,1.0,1.0,1.0
99127f15fd9b5847,0.0,1.0,0.0,0.0,0.0,1.0,0.5
84876bb274165ade,0.0,0.0,1.0,0.0,0.0,1.0,1.0
6dfba05513f05909,0.0,1.0,0.0,0.0,1.0,1.0,1.0
5c4c3448f7a1517f,0.0,1.0,0.0,0.0,1.0,1.0,0.0
016d8cf09d875f57,0.0,0.0,1.0,0.0,0.0,1.0,1.0
6b580c6ff00b511f,0.0,1.0,0.0,0.0,1.0,1.0,1.0
27ff47ea8aea59cf,0.0,1.0,0.0,0.0,1.0,1.0,1.0
e6e2b0d2f0495557,0.0,1.0,0.0,0.0,1.0,1.0,1.0
d81c4398a40b52b9,0.0,1.0,0.0,0.0,1.0,1.0,1.0
93e2a76b34b559fc,0.0,1.0,0.0,0.0,1.0,1.0,1.0
e000d4f7fdfb5f6b,0.0,1.0,0.0,0.0,1.0,1.0,1.0
017e89f6f6a85d79,0.0,1.0,0.0,0.0,1.0,1.0,1.0
e9799c219eb25a48,0.0,1.0,0.0,0.0,1.0,1.0,1.0
6b8daf3b57175e70,0.0,1.0,0.0,0.0,1.0,1.0,1.0
963ea50b7eb2554b,0.0,1.0,0.0,0.0,1.0,1.0,1.0
526b66c665085401,0.0,0.0,1.0,0.0,0.0,1.0,1.0
3e1c321be4295fc7,0.0,1.0,0.0,0.0,1.0,1.0,1.0
1fdff45f05055069,0.0,1.0,0.0,0.0,1.0,1.0,1.0
13310ca9a7715154,0.0,1.0,0.0,0.0,1.0,1.0,1.0
21acd3bbf97b5cbe,0.0,0.0,1.0,0.0,0.0,1.0,1.0
52c6827af61d5b87,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ba13a6004a0c5f8d,0.0,1.0,0.0,0.0,1.0,1.0,1.0
c2f911300954542a,0.0,1.0,0.0,0.0,1.0,1.0,1.0
e052a41759445a28,0.0,1.0,0.0,0.0,1.0,1.0,1.0
cdf234c4f4c35156,0.1705908414325147,0.5,1.0,0.4188360388760707,0.0,1.0,1.0
f8b10bcaa98a53e8,0.19452317166329,0.5,1.0,0.5337112239837921,0.0,1.0,1.0
59504d2ffda35a72,0.1970109016538206,0.5,1.0,0.5456523279383388,0.0,1.0,0.5
c887e4bc08f85aa5,0.2127628136931483,0.5,1.0,0.621261505727112,0.0,1.0,1.0
e90d6c211deb5f05,0.2127765203794254,0.5,1.0,0.6213272978212419,0.0,1.0,0.5
9bbdfa78ebc85eec,0.2236507400335248,0.5,1.0,0.6735235521609191,0.0,1.0,1.0
086e0f2ff2c45bb3,0.2237941717053758,0.5,1.0,0.6742120241858038,0.0,1.0,1.0
c1019bca7cd95123,0.2301180932238602,0.5,1.0,0.7045668474745291,0.0,1.0,1.0
6162cfa976a1521f,0.2765586472047173,0.5,1.0,0.927481506582643,0.0,1.0,1.0
06836a56443a572c,0.2916666666666667,0.5,1.0,1.0,0.0,1.0,1.0
62b0d1b0d5b35c44,0.2916666666666667,0.5,1.0,1.0,0.0,1.0,0.5
e2ae05340dba502d,0.3035789152121758,1.0,1.0,0.328589396509222,0.0,1.0,1.0
c648574640a65934,0.3274515074596584,1.0,1.0,0.3858836179031802,0.0,1.0,1.0
59bf40c427da5eb1,0.3340070854709676,1.0,1.0,0.4016170051303224,0.0,1.0,1.0
bd3e71c7666156ee,0.3353894891788458,1.0,1.0,0.40493477402923,0.0,1.0,1.0
fe22e2c812e65096,0.3372061608510167,1.0,1.0,0.4092947860424401,0.0,1.0,1.0
44f758bf2bee53ce,0.3394668965654357,1.0,1.0,0.414720551757046,0.0,1.0,1.0
a25bc88dbb4f5f72,0.3520431739154867,1.0,1.0,0.4449036173971682,0.0,1.0,1.0
1b1f22e9af535f9f,0.3664353537399,1.0,1.0,0.47944484897576,0.0,1.0,1.0
8aae579b8090538a,0.3874407183220364,1.0,1.0,0.5298577239728874,0.0,1.0,1.0
b8ca1857a0f75fb4,0.3909684590146539,1.0,1.0,0.5383243016351693,0.0,1.0,1.0
784ddfd058865dcb,0.3941463805721517,1.0,1.0,0.5459513133731639,0.0,1.0,1.0
87c6ef5053865368,0.3962687074795539,1.0,1.0,0.5510448979509295,0.0,1.0,0.5
175f0101f12750b1,0.4212521242042912,1.0,1.0,0.6110050980902991,0.0,1.0,1.0
520e72270acb562a,0.4220672153484426,1.0,1.0,0.6129613168362624,0.0,1.0,1.0
5883b0e7c7215e80,0.4239912535783658,1.0,1.0,0.6175790085880781,0.0,1.0,1.0
35b84fa433f0583f,0.4240560584756496,1.0,1.0,0.617734540341559,0.0,1.0,1.0
1968ed26cc315d75,0.4242537614451321,1.0,1.0,0.6182090274683171,0.0,1.0,1.0
61d7fbf592275c75,0.4248590999844922,1.0,1.0,0.6196618399627813,0.0,1.0,0.0
583e9cc4115258e4,0.4256219839041679,1.0,1.0,0.6214927613700029,0.0,1.0,0.5
5e80270349cb530c,0.4355174297649967,1.0,1.0,0.645241831435992,0.0,1.0,1.0
9551ef5e14315cc0,0.443508222437614,1.0,1.0,0.6644197338502738,0.0,1.0,0.0
40726c708b17504a,0.4440346300750887,1.0,1.0,0.6656831121802129,0.0,1.0,1.0
f582317803e65752,0.4478482815004711,1.0,1.0,0.6748358756011306,0.0,1.0,1.0
5143553713f05db3,0.4502254647397537,1.0,1.0,0.680541115375409,0.0,1.0,1.0
1b25edea36205814,0.4542520065466016,1.0,1.0,0.6902048157118438,0.0,1.0,1.0
